Año,Municipio,Código de Municipio,Camiones,Furgonetas,Autobuses,Turismos,Motocicletas,Tractores industriales,Ciclomotores,Otros vehículos,Total vehículos
2022,Alaraz,37007,83,57,0,327,26,3,22,15,533
2022,Alarba,50009,11,20,0,48,5,0,2,2,88
2022,Alarcón,16003,13,13,0,144,11,7,7,1,196
2022,Alarilla,19005,18,28,0,112,6,3,4,8,179
2022,Alaró,7001,396,255,0,3590,606,0,444,71,5362
2022,Alatoz,2002,59,50,0,317,36,5,64,7,538
2022,Alava ( municipio sin especificar) ,1000,2,1,0,7,0,0,0,1,11
2022,Alba,44007,17,26,0,128,16,0,17,8,212
2022,Alba de Cerrato,34006,8,14,0,70,16,1,3,1,113
2022,Alba de Tormes,37008,355,284,21,3283,262,58,149,100,4512
2022,Alba de Yeltes,37009,32,27,0,122,11,3,8,1,204
2022,Albacete,2003,8226,7910,167,82721,15242,880,8769,1160,125075
2022,Albacete ( municipio sin especificar) ,2000,0,1,0,0,0,0,0,0,1
2022,"Albagés, L'",25006,37,39,0,257,50,2,14,15,414
2022,Albaida,46006,381,283,0,3205,476,22,550,56,4973
2022,Albaida del Aljarafe,41003,194,138,4,1559,181,30,162,37,2305
2022,Albal,46007,746,763,51,8662,1373,102,586,83,12366
2022,Albaladejo,13004,128,172,6,661,63,16,178,51,1275
2022,Albaladejo del Cuende,16004,36,25,0,164,15,1,11,12,264
2022,Albalat de la Ribera,46008,275,113,0,2011,276,5,263,31,2974
2022,Albalat dels Sorells,46009,178,176,0,2092,311,43,130,20,2950
2022,Albalat dels Tarongers,46010,75,46,35,810,139,9,70,8,1192
2022,Albalate de Cinca,22007,125,89,0,725,74,6,71,56,1146
2022,Albalate de Zorita,19006,86,139,0,665,142,3,71,36,1142
2022,Albalate de las Nogueras,16005,37,36,0,164,22,0,13,10,282
2022,Albalate del Arzobispo,44008,185,177,0,1048,104,12,151,41,1718
2022,Albalatillo,22008,18,23,0,155,22,5,31,2,256
2022,Albalá,10007,65,45,1,399,42,1,64,13,630
2022,Albanchez de Mágina,23001,66,169,11,437,52,0,85,24,844
2022,Albanyà,17003,16,59,0,97,25,0,8,30,235
2022,Albares,19007,52,54,0,303,24,3,9,17,462
2022,Albarracín,44009,107,116,0,601,69,2,78,32,1005
2022,Albarreal de Tajo,45003,83,84,0,559,54,19,28,43,870
2022,Albatana,2004,84,53,0,462,47,4,78,16,744
2022,Albatera,3005,1011,628,1,6297,629,170,477,234,9447
2022,Albatàrrec,25007,198,164,1,1744,237,19,102,42,2507
2022,Albelda,22009,87,98,0,510,52,9,53,31,840
2022,Albelda de Iregua,26005,306,261,0,1905,265,37,135,68,2977
2022,Albendea,16006,18,13,0,77,13,0,9,5,135
2022,Albendiego,19008,9,2,0,23,2,0,4,0,40
2022,Albentosa,44010,50,47,1,168,9,0,19,11,305
2022,"Alberca de Záncara, La",16007,172,128,1,1102,70,12,102,33,1620
2022,"Alberca, La",37010,114,84,0,547,44,8,40,41,878
2022,"Alberguería de Argañán, La",37011,19,14,0,67,6,0,5,6,117
2022,Alberic,46011,795,414,27,5776,738,32,852,275,8909
2022,Alberite,26006,248,184,0,1429,237,8,132,50,2288
2022,Alberite de San Juan,50010,4,4,0,51,2,0,2,0,63
2022,Albero Alto,22011,12,13,0,68,7,0,2,4,106
2022,Albero Bajo,22012,13,14,0,87,11,0,7,9,141
2022,Alberuela de Tubo,22013,37,48,0,251,29,1,23,19,408
2022,Albesa,25008,148,108,1,994,164,3,97,63,1578
2022,Albeta,50011,20,27,0,87,18,0,30,7,189
2022,"Albi, L'",25009,87,80,0,498,66,9,46,21,807
2022,Albillos,9009,17,22,0,184,26,5,17,12,283
2022,Albinyana,43002,188,181,1,1606,338,10,159,41,2524
2022,"Albiol, L'",43003,34,39,0,315,83,1,14,13,499
2022,Albiztur,20004,32,43,1,216,118,4,5,11,430
2022,Albocàsser,12003,194,176,0,721,38,16,59,31,1235
2022,Alboloduy,4005,59,49,0,326,55,5,78,42,614
2022,Albolote,18003,995,1190,75,10359,2173,139,931,182,16044
2022,Albondón,18004,211,145,0,625,64,6,34,59,1144
2022,Albons,17004,63,100,0,542,152,4,68,22,951
2022,Alborache,46012,100,75,1,681,161,8,94,16,1136
2022,Alboraya,46013,863,806,28,11652,2700,28,715,125,16917
2022,Alborea,2005,101,73,2,444,49,5,74,46,794
2022,Alborge,50012,11,15,0,72,17,0,21,15,151
2022,Albornos,5005,8,13,0,146,9,0,8,11,195
2022,Albox,4006,1259,1046,15,7322,771,283,601,210,11507
2022,Albudeite,30004,104,88,0,722,110,4,233,13,1274
2022,"Albuera, La",6005,97,122,0,1172,144,4,153,38,1730
2022,Albuixech,46014,442,170,0,2152,558,386,204,13,3925
2022,Alburquerque,6006,349,422,5,2978,286,19,360,84,4503
2022,Albuñol,18006,1007,482,0,3283,448,38,289,117,5664
2022,Albuñuelas,18007,134,131,0,467,58,2,78,21,891
2022,Albuñán,18005,40,42,0,323,60,1,57,9,532
2022,Albánchez,4004,78,80,0,474,86,89,34,30,871
2022,Alcabón,45004,44,38,0,429,35,9,17,8,580
2022,Alcadozo,2006,62,62,0,346,37,4,55,10,576
2022,Alcaine,44011,5,8,0,35,1,0,2,6,57
2022,Alcalalí,3006,106,93,0,1016,138,0,70,17,1440
2022,Alcalà de Xivert,12004,590,497,1,3790,508,13,386,72,5857
2022,Alcalá de Ebro,50013,65,17,0,138,38,52,39,11,360
2022,Alcalá de Guadaíra,41004,4304,2655,53,38405,5746,806,3606,1002,56577
2022,Alcalá de Gurrea,22014,42,22,0,176,29,0,17,10,296
2022,Alcalá de Henares,28005,5183,7173,112,98684,8731,567,2926,998,124374
2022,Alcalá de Moncayo,50014,19,22,0,111,17,0,5,6,180
2022,Alcalá de la Selva,44012,39,65,1,221,24,1,21,23,395
2022,Alcalá de la Vega,16008,18,21,0,53,2,0,4,2,100
2022,Alcalá de los Gazules,11001,377,319,2,2745,347,7,531,87,4415
2022,Alcalá del Júcar,2007,144,104,29,750,142,7,195,40,1411
2022,Alcalá del Obispo,22015,37,52,0,257,27,8,17,12,410
2022,Alcalá del Río,41005,532,314,7,6132,761,81,583,87,8497
2022,Alcalá del Valle,11002,382,342,20,2729,123,6,210,60,3872
2022,Alcalá la Real,23002,1844,3065,20,11343,1763,280,1739,384,20438
2022,Alcampell,22016,100,94,0,451,70,4,35,32,786
2022,Alcanadre,26007,104,82,0,350,39,24,53,10,662
2022,Alcanar,43004,1091,898,1,5670,789,62,478,162,9151
2022,Alcantarilla,30005,1828,1683,6,22278,3305,244,2070,198,31612
2022,Alcantud,16009,10,13,0,46,12,0,7,1,89
2022,Alcanó,25010,20,23,0,170,40,3,23,11,290
2022,Alcaracejos,14003,134,126,0,799,106,7,69,39,1280
2022,Alcaraz,2008,142,190,10,764,89,5,117,49,1366
2022,Alcarràs,25011,886,660,0,5500,731,142,371,255,8545
2022,Alcaucín,29002,235,282,1,1654,192,15,139,34,2552
2022,Alcaudete,23003,864,1584,1,5551,803,49,1246,197,10295
2022,Alcaudete de la Jara,45006,128,135,0,887,90,3,150,32,1425
2022,Alcazarén,47005,72,70,0,417,30,17,26,44,676
2022,Alcañices,49003,101,108,0,705,54,11,41,26,1046
2022,Alcañiz,44013,1041,968,15,8570,1509,274,907,201,13485
2022,Alcañizo,45005,18,17,0,190,14,0,14,1,254
2022,Alcoba,13006,77,83,0,421,33,2,44,30,690
2022,Alcobendas,28006,15032,39944,208,197456,7197,547,1683,965,263032
2022,Alcocer,19009,33,30,0,162,22,3,18,13,281
2022,Alcocer de Planes,3007,28,23,0,175,36,4,21,3,290
2022,Alcocero de Mola,9010,1,11,0,22,1,0,0,8,43
2022,Alcohujate,16011,3,3,0,25,5,0,2,1,39
2022,Alcolea,4007,112,78,7,518,48,1,60,20,844
2022,Alcolea de Calatrava,13007,125,96,0,807,85,11,89,39,1252
2022,Alcolea de Cinca,22017,102,80,0,714,117,18,123,23,1177
2022,Alcolea de Tajo,45007,65,60,0,577,27,0,50,17,796
2022,Alcolea de las Peñas,19010,1,2,0,9,0,0,1,0,13
2022,Alcolea del Pinar,19011,34,49,0,204,24,15,9,5,340
2022,Alcolea del Río,41006,175,111,14,1747,226,19,400,41,2733
2022,Alcoleja,3008,28,25,1,116,19,0,15,7,211
2022,Alcoletge,25012,301,223,0,1932,427,18,127,69,3097
2022,Alcollarín,10009,21,31,0,179,19,0,28,10,288
2022,Alconaba,42006,19,29,0,137,18,0,6,10,219
2022,Alconada,37012,11,10,0,154,25,0,14,5,219
2022,Alconada de Maderuelo,40005,5,5,0,21,0,0,5,2,38
2022,Alconchel,6007,107,135,0,997,98,1,226,33,1597
2022,Alconchel de Ariza,50015,4,15,0,58,10,0,2,3,92
2022,Alconchel de la Estrella,16012,12,7,1,69,6,2,6,3,106
2022,Alconera,6008,22,38,5,429,42,1,55,5,597
2022,"Alcora, l'",12005,744,729,0,6367,892,199,643,141,9715
2022,Alcorcón,28007,4050,5456,461,79189,6631,230,1388,752,98157
2022,Alcorisa,44014,311,245,0,2109,212,40,159,73,3149
2022,Alcoroches,19013,31,30,0,81,9,1,3,15,170
2022,Alcover,43005,403,381,0,3071,552,60,190,96,4753
2022,Alcoy/Alcoi,3009,2170,1931,49,29632,4876,244,2096,253,41251
2022,Alcubierre,22018,45,45,0,234,16,3,3,4,350
2022,Alcubilla de Avellaneda,42007,15,19,0,96,7,1,7,6,151
2022,Alcubilla de Nogales,49004,6,6,0,80,14,0,11,0,117
2022,Alcubilla de las Peñas,42008,5,15,0,36,6,4,1,6,73
2022,Alcubillas,13008,45,53,0,301,17,1,60,22,499
2022,Alcublas,46018,128,109,0,384,64,2,84,24,795
2022,Alcudia de Monteagud,4009,13,14,0,90,28,0,6,5,156
2022,Alcudia de Veo,12006,19,14,0,97,15,0,9,3,157
2022,Alcuéscar,10010,185,265,0,1480,168,14,200,63,2375
2022,Alcàntera de Xúquer,46016,94,51,0,825,117,9,134,8,1238
2022,Alcàsser,46015,561,362,47,5591,735,50,334,47,7727
2022,Alcántara,10008,126,120,2,840,74,0,44,29,1235
2022,Alcázar de San Juan,13005,1512,1354,17,15628,1675,142,1508,239,22075
2022,Alcázar del Rey,16010,17,19,0,124,18,0,2,14,194
2022,"Alcázares, Los",30902,680,639,50,9301,888,46,512,107,12223
2022,Alcóntar,4008,84,132,0,456,71,7,34,49,833
2022,Alcúdia,7003,1108,878,23,12454,2460,18,1748,113,18802
2022,"Alcúdia de Crespins, l'",46020,335,154,0,2680,396,46,463,35,4109
2022,"Alcúdia, l'",46019,929,512,2,6441,766,80,674,87,9491
2022,Aldaia,46021,1540,1162,116,15883,2252,243,848,353,22397
2022,Aldea Real,40012,30,25,0,220,26,5,16,16,338
2022,Aldea de San Miguel,47006,19,17,0,146,15,0,10,5,212
2022,"Aldea de San Nicolás, La",35020,1212,557,9,4110,575,23,670,112,7268
2022,Aldea del Cano,10012,44,49,0,361,44,1,26,11,536
2022,Aldea del Fresno,28008,169,188,0,1707,230,2,75,51,2422
2022,Aldea del Obispo,37015,33,32,0,158,21,0,27,11,282
2022,"Aldea del Obispo, La",10013,37,35,0,189,20,1,11,12,305
2022,Aldea del Rey,13009,189,211,0,930,81,9,167,50,1637
2022,Aldea en Cabo,45008,26,23,0,94,3,0,4,7,157
2022,"Aldea, L'",43904,645,477,0,2429,335,53,235,113,4287
2022,Aldeacentenera,10011,66,57,2,371,30,2,20,30,578
2022,Aldeacipreste,37013,12,17,0,56,6,0,3,1,95
2022,Aldeadávila de la Ribera,37014,100,79,0,659,60,3,112,39,1052
2022,Aldealafuente,42009,16,18,0,77,4,0,2,4,121
2022,Aldealcorvo,40006,0,2,0,14,5,0,0,0,21
2022,Aldealengua,37016,31,27,0,486,61,7,19,11,642
2022,Aldealengua de Pedraza,40007,11,12,0,71,9,0,2,6,111
2022,Aldealengua de Santa María,40008,12,14,0,54,13,3,8,7,111
2022,Aldealices,42010,1,3,0,14,2,0,0,0,20
2022,Aldealpozo,42011,0,1,0,13,1,0,0,0,15
2022,Aldealseñor,42012,0,3,0,20,3,0,0,0,26
2022,Aldeamayor de San Martín,47007,285,269,7,3647,527,55,73,64,4927
2022,Aldeanueva de Barbarroya,45009,58,61,8,282,38,8,50,21,526
2022,Aldeanueva de Ebro,26008,300,192,0,1504,77,9,88,62,2232
2022,Aldeanueva de Figueroa,37017,11,16,0,183,13,4,8,6,241
2022,Aldeanueva de Guadalajara,19015,7,14,0,82,12,0,6,2,123
2022,Aldeanueva de San Bartolomé,45010,44,41,0,217,8,0,18,4,332
2022,Aldeanueva de Santa Cruz,5007,16,13,0,65,12,1,7,9,123
2022,Aldeanueva de la Serrezuela,40009,3,9,0,33,4,0,1,1,51
2022,Aldeanueva de la Sierra,37018,6,12,0,72,3,0,1,1,95
2022,Aldeanueva de la Vera,10014,292,208,0,1312,129,3,127,116,2187
2022,Aldeanueva del Camino,10015,60,60,0,475,40,2,45,14,696
2022,Aldeanueva del Codonal,40010,10,24,0,97,6,0,5,2,144
2022,Aldeaquemada,23004,43,84,0,290,54,1,52,5,529
2022,Aldearrodrigo,37019,13,15,0,111,12,0,5,3,159
2022,Aldearrubia,37020,29,36,0,369,26,1,21,6,488
2022,Aldeaseca,5008,10,14,0,164,10,1,2,7,208
2022,Aldeaseca de Alba,37021,1,3,0,51,2,7,2,7,73
2022,Aldeaseca de la Frontera,37022,14,9,0,221,9,1,31,3,288
2022,Aldeasoña,40013,4,0,0,44,2,2,0,2,54
2022,Aldeatejada,37023,97,86,1,1485,220,9,32,40,1970
2022,Aldeavieja de Tormes,37024,10,17,0,80,4,0,5,7,123
2022,Aldehorno,40014,9,9,0,38,3,0,3,3,65
2022,Aldehuela de Jerte,10016,41,34,0,257,35,0,10,11,388
2022,Aldehuela de Liestos,50016,1,11,0,37,4,0,1,2,56
2022,Aldehuela de Periáñez,42013,2,4,0,21,3,0,1,0,31
2022,Aldehuela de Yeltes,37026,20,21,0,124,19,6,12,3,205
2022,Aldehuela de la Bóveda,37025,48,42,0,240,20,0,11,13,374
2022,Aldehuela del Codonal,40015,1,4,0,28,2,0,1,1,37
2022,"Aldehuela, La",5010,17,21,0,98,7,0,1,6,150
2022,"Aldehuelas, Las",42014,17,15,0,38,2,0,2,0,74
2022,Aldeire,18010,46,78,0,385,38,0,33,14,594
2022,Aldeonte,40016,7,13,0,50,2,0,1,1,74
2022,Aldover,43006,95,96,0,485,81,0,81,14,852
2022,Aledo,30006,60,41,16,727,161,1,141,8,1155
2022,Alegia,20005,108,78,0,855,115,6,33,35,1230
2022,Alegría-Dulantzi,1001,119,157,0,1674,192,4,42,48,2236
2022,"Aleixar, L'",43007,92,86,1,610,352,3,75,8,1227
2022,Alella,8003,299,614,12,5245,1959,2,366,121,8618
2022,Alentisque,42015,1,3,0,17,1,0,1,0,23
2022,Alerre,22019,12,21,0,153,20,0,8,7,221
2022,Alesanco,26009,46,38,1,315,46,1,27,9,483
2022,Alesón,26010,49,29,0,90,13,7,5,28,221
2022,Alfacar,18011,322,417,3,3311,745,11,386,61,5256
2022,Alfafar,46022,740,541,1,10245,1434,161,558,290,13970
2022,Alfafara,3010,37,37,0,283,64,0,23,3,447
2022,Alfajarín,50017,151,141,0,1311,204,35,122,46,2010
2022,Alfambra,44016,47,43,0,294,22,2,16,8,432
2022,Alfamén,50018,92,132,0,837,39,8,80,35,1223
2022,Alfara de Carles,43008,49,66,0,182,54,0,40,12,403
2022,Alfara de la Baronia,46024,38,19,0,345,61,22,51,2,538
2022,Alfara del Patriarca,46025,146,119,0,1643,258,4,170,20,2360
2022,Alfaraz de Sayago,49005,14,24,0,111,11,0,7,6,173
2022,Alfarnate,29003,154,135,3,644,73,6,89,18,1122
2022,Alfarnatejo,29004,62,68,0,245,44,0,43,9,471
2022,Alfaro,26011,695,562,0,4824,575,56,491,156,7359
2022,Alfarp,46026,145,53,0,957,114,33,117,15,1434
2022,Alfarrasí,46027,105,60,0,751,189,22,115,15,1257
2022,Alfarràs,25013,353,176,0,1532,193,64,105,49,2472
2022,Alfauir,46023,17,19,0,265,62,2,50,6,421
2022,Alfondeguilla,12007,66,48,0,452,72,4,53,6,701
2022,Alforja,43009,160,206,1,1176,263,0,109,44,1959
2022,Alforque,50019,10,7,0,51,10,0,10,6,94
2022,Alfoz,27002,144,195,0,1265,182,5,249,33,2073
2022,Alfoz de Bricia,9011,13,11,0,51,6,0,2,2,85
2022,Alfoz de Lloredo,39001,173,147,1,1619,207,8,147,71,2373
2022,Alfoz de Quintanadueñas,9907,76,124,0,1387,216,31,31,39,1904
2022,Alfoz de Santa Gadea,9012,20,14,1,97,25,1,6,6,170
2022,"Alfàs del Pi, l'",3011,850,1266,22,12698,2502,12,1079,188,18617
2022,Alfántega,22020,14,9,0,94,16,0,8,5,146
2022,Alfés,25014,31,19,0,206,79,3,32,13,383
2022,"Algaba, La",41007,540,337,2,7112,1337,52,913,66,10359
2022,Algadefe,24002,15,13,0,213,14,6,42,10,313
2022,Algaida,7004,567,324,8,3942,671,8,431,58,6009
2022,Algar,11003,107,107,0,1030,114,1,115,37,1511
2022,Algar de Mesa,19016,3,7,0,25,0,0,2,1,38
2022,Algar de Palancia,46028,32,27,0,299,52,1,38,3,452
2022,Algarinejo,18012,255,531,1,1670,202,5,259,52,2975
2022,Algarra,16013,2,5,0,14,1,0,5,0,27
2022,Algarrobo,29005,512,515,1,3195,804,29,547,67,5670
2022,Algatocín,29006,130,117,0,485,114,2,117,51,1016
2022,Algeciras,11004,4472,3919,116,61307,11557,619,6314,1127,89431
2022,Algemesí,46029,1347,642,5,13818,1897,89,1079,143,19020
2022,Algerri,25015,68,57,0,306,48,31,18,25,553
2022,Algete,28009,744,1151,18,12273,1660,78,356,316,16596
2022,Algimia de Alfara,46030,109,62,0,597,72,19,71,12,942
2022,Algimia de Almonacid,12008,36,34,0,145,27,1,28,7,278
2022,Alginet,46031,1138,616,3,7922,1237,90,1252,116,12374
2022,Algodonales,11005,384,299,1,2640,502,1,811,59,4697
2022,Algodre,49006,4,6,0,105,5,0,10,3,133
2022,Algora,19017,12,10,0,49,3,0,0,2,76
2022,Algorfa,3012,144,129,0,2874,214,10,103,49,3523
2022,Alguaire,25016,450,217,0,1957,234,70,200,85,3213
2022,Alguazas,30007,491,394,0,5639,685,84,702,61,8056
2022,Algueña,3013,106,85,0,965,144,25,105,11,1441
2022,Algámitas,41008,141,130,1,677,79,0,117,34,1179
2022,Alhabia,4010,91,41,0,399,87,28,90,34,770
2022,Alhama de Almería,4011,370,304,2,2151,339,51,315,123,3655
2022,Alhama de Aragón,50020,75,76,0,582,74,15,92,24,938
2022,Alhama de Granada,18013,928,763,2,3432,493,54,527,130,6329
2022,Alhama de Murcia,30008,1211,1072,7,12684,2539,369,2444,240,20566
2022,Alhambra,13010,116,136,0,636,44,2,152,37,1123
2022,Alhaurín de la Torre,29007,2092,2078,38,22837,4399,213,1615,491,33763
2022,Alhaurín el Grande,29008,2192,1816,7,13602,2484,37,1833,331,22302
2022,Alhendín,18014,392,422,0,5212,1124,105,546,74,7875
2022,Alhóndiga,19018,30,32,0,103,17,2,19,9,212
2022,Aliaga,44017,45,62,0,215,27,0,18,19,386
